Q,A,
사과는 무슨 모양입니까? ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양인가?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양지요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양은?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양이에요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양입니까,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양인가,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양지요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양은,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양이에요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 모양 ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양입니까? ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양인가?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양지요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양은?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양이에요 ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양입니까 ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양인가,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양지요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양은,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양이에요 ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 겉모양,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형입니까? ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형인가?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형지요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형은?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형이에요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형입니까,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형인가,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형지요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형은,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형이에요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 외형        ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴입니까? ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴인가?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴지요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴은?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴? ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴이에요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴입니까,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴인가,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴지요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴은,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴이에요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 꼴   ,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상입니까?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상인가?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상지요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상은?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상이에요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상입니까,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상인가,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상지요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상은,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상이에요,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형상입니까?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형인가?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
사과는 무슨 형요?,"사과의 모양은 구형, 원뿔형, 판구형입니다.",
